time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2021-01-01-00:00;2021-01-01-08:00;2021-01-01T00:00:00.2102810Z;2021-01-01T07:59:59.8322430Z;28990.08;29545.0;28751.82;29166.41;9543.27842528;76847;
2021-01-01-08:00;2021-01-01-16:00;2021-01-01T08:00:00.2195310Z;2021-01-01T15:59:59.9038210Z;29166.41;29688.88;28928.16;29262.05;5777.9266793;65905;
2021-01-01-16:00;2021-01-02-00:00;2021-01-01T16:00:00.2136190Z;2021-01-01T23:59:59.7847540Z;29260.78;29436.72;28700.0;29412.84;6890.04741348;76211;
2021-01-02-00:00;2021-01-02-08:00;2021-01-02T00:00:00.2184930Z;2021-01-02T07:59:59.5479770Z;29413.29;29887.0;29039.0;29837.78;6040.19062659;59765;
2021-01-02-08:00;2021-01-02-16:00;2021-01-02T08:00:00.0521030Z;2021-01-02T15:59:59.7755180Z;29837.77;31898.0;29550.0;31802.45;12609.24375;96092;
2021-01-02-16:00;2021-01-03-00:00;2021-01-02T16:00:00.0378770Z;2021-01-02T23:59:59.4810790Z;31800.34;33300.0;30188.0;32225.91;28025.81214487;234921;
2021-01-03-00:00;2021-01-03-08:00;2021-01-03T00:00:00.2242730Z;2021-01-03T07:59:59.6306350Z;32222.88;34810.0;32008.62;34508.49;12025.94950911;125248;
2021-01-03-08:00;2021-01-03-16:00;2021-01-03T08:00:00.1476990Z;2021-01-03T15:59:59.8162660Z;34508.48;34700.0;32800.0;33567.82;11418.78808531;105395;
2021-01-03-16:00;2021-01-04-00:00;2021-01-03T16:00:00.1852640Z;2021-01-03T23:59:59.9955750Z;33569.34;33884.16;32270.59;33080.66;13506.97891186;140011;
2021-01-04-00:00;2021-01-04-08:00;2021-01-04T00:00:00.1930980Z;2021-01-04T07:59:59.5447350Z;33082.84;33666.99;31700.0;32108.13;12015.47627312;117645;
2021-01-04-08:00;2021-01-04-16:00;2021-01-04T08:00:00.1321950Z;2021-01-04T15:59:59.9168710Z;32117.6;32599.01;27678.0;31771.01;21486.86172982;176919;
2021-01-04-16:00;2021-01-05-00:00;2021-01-04T16:00:00.0250050Z;2021-01-04T23:59:59.7591240Z;31771.01;32050.0;30607.88;32019.99;12543.05168214;122922;
2021-01-05-00:00;2021-01-05-08:00;2021-01-05T00:00:00.0066330Z;2021-01-05T07:59:59.2060220Z;32020.22;32890.0;29891.13;30831.98;16411.02279893;139481;
2021-01-05-08:00;2021-01-05-16:00;2021-01-05T08:00:00.1454060Z;2021-01-05T15:59:59.8325200Z;30843.04;32428.15;30829.56;32167.29;8951.51612842;88519;
2021-01-05-16:00;2021-01-06-00:00;2021-01-05T16:00:00.2245530Z;2021-01-05T23:59:59.4687550Z;32167.3;34499.67;31850.0;34030.64;16918.43684826;143488;
2021-01-06-00:00;2021-01-06-08:00;2021-01-06T00:00:00.2258270Z;2021-01-06T07:59:59.2929130Z;34043.91;35868.69;33352.54;34787.89;16101.33539923;138642;
2021-01-06-08:00;2021-01-06-16:00;2021-01-06T08:00:00.0070550Z;2021-01-06T15:59:59.8859380Z;34787.88;35365.45;33700.0;34669.08;10240.7318709;103184;
2021-01-06-16:00;2021-01-07-00:00;2021-01-06T16:00:00.1098860Z;2021-01-06T23:59:59.7552400Z;34668.45;37000.0;34341.77;36859.26;19402.03593002;174240;
2021-01-07-00:00;2021-01-07-08:00;2021-01-07T00:00:00.1559680Z;2021-01-07T07:59:59.9747180Z;36859.26;37823.0;36511.51;36917.01;13471.33351601;151236;
2021-01-07-08:00;2021-01-07-16:00;2021-01-07T08:00:00.1737360Z;2021-01-07T15:59:59.8624900Z;36930.48;39000.0;36352.98;39000.0;11271.55043482;112938;
2021-01-07-16:00;2021-01-08-00:00;2021-01-07T16:00:00.0583460Z;2021-01-07T23:59:59.5295690Z;39000.0;40425.0;36200.0;39505.56;25603.42173969;235644;
2021-01-08-00:00;2021-01-08-08:00;2021-01-08T00:00:00.2291140Z;2021-01-08T07:59:59.3495990Z;39510.55;39750.0;36565.08;38956.26;14965.60173187;164181;
2021-01-08-08:00;2021-01-08-16:00;2021-01-08T08:00:00.0881480Z;2021-01-08T15:59:59.8505980Z;38954.71;41986.37;38264.26;40915.61;15950.32016529;158936;
2021-01-08-16:00;2021-01-09-00:00;2021-01-08T16:00:00.0250840Z;2021-01-08T23:59:59.2957050Z;40915.61;41650.0;38700.0;40665.15;17631.89408195;185954;
2021-01-09-00:00;2021-01-09-08:00;2021-01-09T00:00:00.0147600Z;2021-01-09T07:59:59.8780400Z;40642.15;40980.0;38800.0;39665.99;10994.59727042;126642;
2021-01-09-08:00;2021-01-09-16:00;2021-01-09T08:00:00.3506900Z;2021-01-09T15:59:59.8791070Z;39665.99;41406.94;39327.65;40620.02;7522.1297851;88352;
2021-01-09-16:00;2021-01-10-00:00;2021-01-09T16:00:00.0026200Z;2021-01-09T23:59:59.9803360Z;40625.9;40965.0;40007.0;40257.43;8636.24397329;119372;
2021-01-10-00:00;2021-01-10-08:00;2021-01-10T00:00:00.1496810Z;2021-01-10T07:59:59.6508720Z;40257.43;41452.12;40205.0;41090.01;7315.66447245;96583;
2021-01-10-08:00;2021-01-10-16:00;2021-01-10T08:00:00.1960180Z;2021-01-10T15:59:59.8381620Z;41090.02;41136.51;38582.0;39716.79;8977.43575791;103241;
2021-01-10-16:00;2021-01-11-00:00;2021-01-10T16:00:00.0180380Z;2021-01-10T23:59:59.2202220Z;39715.89;39797.92;34444.0;38171.57;27443.47008553;280525;
2021-01-11-00:00;2021-01-11-08:00;2021-01-11T00:00:00.1917640Z;2021-01-11T07:59:59.4058420Z;38168.89;38273.88;32265.0;34333.36;36458.55274801;351398;
2021-01-11-08:00;2021-01-11-16:00;2021-01-11T08:00:00.0101800Z;2021-01-11T15:59:59.9361110Z;34333.39;36342.52;30251.55;31500.03;27790.89526134;266878;
2021-01-11-16:00;2021-01-12-00:00;2021-01-11T16:00:00.0690670Z;2021-01-11T23:59:59.5488210Z;31500.0;35682.0;30100.0;35452.59;38298.9848825;336371;
2021-01-12-00:00;2021-01-12-08:00;2021-01-12T00:00:00.2288150Z;2021-01-12T07:59:59.4221480Z;35456.89;36604.51;33686.11;36449.26;19906.43619521;154187;
2021-01-12-08:00;2021-01-12-16:00;2021-01-12T08:00:00.1944140Z;2021-01-12T15:59:59.4815080Z;36443.72;36527.63;32500.0;33834.06;14870.8019503;116808;
2021-01-12-16:00;2021-01-13-00:00;2021-01-12T16:00:00.1038060Z;2021-01-12T23:59:59.9304360Z;33834.08;35488.0;33300.0;34038.98;13451.6091133;137582;
2021-01-13-00:00;2021-01-13-08:00;2021-01-13T00:00:00.1604970Z;2021-01-13T07:59:59.7507400Z;34035.53;35149.04;32309.04;34940.72;15596.18197908;132084;
2021-01-13-08:00;2021-01-13-16:00;2021-01-13T08:00:00.1819230Z;2021-01-13T15:59:59.4961870Z;34958.43;35233.27;34010.0;34652.19;9348.26309089;81392;
2021-01-13-16:00;2021-01-14-00:00;2021-01-13T16:00:00.1443320Z;2021-01-13T23:59:59.8101200Z;34650.52;37888.0;34362.83;37393.66;14636.26580188;135995;
2021-01-14-00:00;2021-01-14-08:00;2021-01-14T00:00:00.0113340Z;2021-01-14T07:59:59.9925400Z;37393.67;38616.22;36751.11;38230.59;10399.91307867;97589;
2021-01-14-08:00;2021-01-14-16:00;2021-01-14T08:00:00.1117380Z;2021-01-14T15:59:59.4377940Z;38220.66;40127.66;37725.1;39529.25;10346.88476489;93461;
2021-01-14-16:00;2021-01-15-00:00;2021-01-14T16:00:00.2647540Z;2021-01-14T23:59:59.9612050Z;39529.6;39991.99;38132.13;39125.14;11121.96265009;111047;
2021-01-15-00:00;2021-01-15-08:00;2021-01-15T00:00:00.2151200Z;2021-01-15T07:59:59.9734400Z;39123.05;39697.0;37555.0;38444.22;7671.81850309;87795;
2021-01-15-08:00;2021-01-15-16:00;2021-01-15T08:00:00.0081540Z;2021-01-15T15:59:59.9416030Z;38448.09;38740.0;35136.28;35537.94;10297.12379507;122952;
2021-01-15-16:00;2021-01-16-00:00;2021-01-15T16:00:00.1336620Z;2021-01-15T23:59:59.9895020Z;35538.43;36900.0;34298.93;36754.67;18496.42898877;168282;
2021-01-16-00:00;2021-01-16-08:00;2021-01-16T00:00:00.0412320Z;2021-01-16T07:59:59.7839680Z;36754.6;37678.23;35532.2;36584.75;9053.3667904;83634;
2021-01-16-08:00;2021-01-16-16:00;2021-01-16T08:00:00.2329890Z;2021-01-16T15:59:59.9028060Z;36589.5;37948.0;36373.0;37472.98;4874.51899918;53279;
2021-01-16-16:00;2021-01-17-00:00;2021-01-16T16:00:00.1885120Z;2021-01-16T23:59:59.1725880Z;37472.98;37733.64;35372.59;36006.94;6962.46179241;90347;
2021-01-17-00:00;2021-01-17-08:00;2021-01-17T00:00:00.1647760Z;2021-01-17T07:59:59.9167840Z;36004.8;36720.0;34524.87;34773.91;6635.00231531;71554;
2021-01-17-08:00;2021-01-17-16:00;2021-01-17T08:00:00.2000100Z;2021-01-17T15:59:59.9417970Z;34773.91;35947.36;33850.03;35755.93;6956.51827762;65341;
2021-01-17-16:00;2021-01-18-00:00;2021-01-17T16:00:00.3007950Z;2021-01-17T23:59:59.9883830Z;35749.98;36860.0;35525.0;35820.0;5597.07296966;71927;
2021-01-18-00:00;2021-01-18-08:00;2021-01-18T00:00:00.1947600Z;2021-01-18T07:59:59.2149330Z;35820.01;36250.0;34736.46;36087.74;5803.08319597;65443;
2021-01-18-08:00;2021-01-18-16:00;2021-01-18T08:00:00.1732130Z;2021-01-18T15:59:59.8645950Z;36085.11;37402.0;35755.64;36435.1;5634.21705771;55813;
