time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2022-01-01-00:00;2022-01-01-02:00;2022-01-01T00:00:00.0516210Z;2022-01-01T01:59:59.9347870Z;46211.24;46931.0;46205.0;46780.85;1508.39016423;50240;
2022-01-01-02:00;2022-01-01-04:00;2022-01-01T02:00:00.1194150Z;2022-01-01T03:59:58.7819100Z;46778.0;46929.2;46728.5;46804.01;787.61830326;36699;
2022-01-01-04:00;2022-01-01-06:00;2022-01-01T04:00:00.6123070Z;2022-01-01T05:59:59.5204260Z;46804.0;47548.53;46621.59;47188.0;1138.065166;34354;
2022-01-01-06:00;2022-01-01-08:00;2022-01-01T06:00:00.0657790Z;2022-01-01T07:59:59.7074540Z;47188.0;47327.89;46903.5;47200.01;679.46176218;24676;
2022-01-01-08:00;2022-01-01-10:00;2022-01-01T08:00:00.0338930Z;2022-01-01T09:59:58.6786390Z;47200.14;47347.54;46938.37;47139.67;352.99829267;18095;
2022-01-01-10:00;2022-01-01-12:00;2022-01-01T10:00:00.1958520Z;2022-01-01T11:59:54.3019620Z;47139.66;47299.79;46205.0;46758.11;758.03556843;19607;
2022-01-01-12:00;2022-01-01-14:00;2022-01-01T12:00:00.2272640Z;2022-01-01T13:59:58.6781070Z;46754.97;47206.01;46754.97;47023.9;291.71853508;18441;
2022-01-01-14:00;2022-01-01-16:00;2022-01-01T14:00:00.1527080Z;2022-01-01T15:59:59.3730260Z;47023.89;47486.85;46855.69;47231.0;720.12890145;27665;
2022-01-01-16:00;2022-01-01-18:00;2022-01-01T16:00:00.8277760Z;2022-01-01T17:59:59.9089730Z;47231.0;47967.12;47202.18;47769.78;1233.55794074;37188;
2022-01-01-18:00;2022-01-01-20:00;2022-01-01T18:00:00.0278880Z;2022-01-01T19:59:59.9740530Z;47769.78;47850.0;47305.71;47347.77;717.31550867;33949;
2022-01-01-20:00;2022-01-01-22:00;2022-01-01T20:00:00.4146380Z;2022-01-01T21:59:59.4899110Z;47347.22;47579.24;47265.78;47335.57;683.81410981;32426;
2022-01-01-22:00;2022-01-02-00:00;2022-01-01T22:00:00.4035170Z;2022-01-01T23:59:59.7348560Z;47334.12;47823.25;47245.84;47733.43;592.55745858;33670;
2022-01-02-00:00;2022-01-02-02:00;2022-01-02T00:00:00.1892900Z;2022-01-02T01:59:59.7586930Z;47733.43;47770.37;47328.15;47384.62;677.88835394;36885;
2022-01-02-02:00;2022-01-02-04:00;2022-01-02T02:00:00.1402170Z;2022-01-02T03:59:58.6454610Z;47387.09;47491.5;47280.0;47339.42;475.14108014;30118;
2022-01-02-04:00;2022-01-02-06:00;2022-01-02T04:00:01.0379410Z;2022-01-02T05:59:57.9090670Z;47338.81;47430.8;46767.94;47093.4;773.22433959;34056;
2022-01-02-06:00;2022-01-02-08:00;2022-01-02T06:00:00.2778240Z;2022-01-02T07:59:58.9540400Z;47095.58;47305.87;47023.68;47189.04;392.93499161;29292;
