time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2021-01-01-00:00;2021-01-01-08:00;2021-01-01T00:00:00.1846110Z;2021-01-01T07:59:59.2758430Z;737.89;750.0;731.0;738.44;72520.51247155;39185;
2021-01-01-08:00;2021-01-01-16:00;2021-01-01T08:00:00.2031410Z;2021-01-01T15:59:58.9083710Z;738.54;745.49;726.71;737.27;67658.65749408;38294;
2021-01-01-16:00;2021-01-02-00:00;2021-01-01T16:00:00.2096890Z;2021-01-01T23:59:58.4272400Z;737.27;739.6;717.1;730.99;57881.27212848;45453;
2021-01-02-00:00;2021-01-02-08:00;2021-01-02T00:00:00.4614590Z;2021-01-02T07:59:59.6436610Z;730.97;742.0;715.22;737.13;60900.33823005;34602;
2021-01-02-08:00;2021-01-02-16:00;2021-01-02T08:00:00.1449540Z;2021-01-02T15:59:59.8541490Z;737.13;774.0;725.1;770.86;106966.92682268;57387;
2021-01-02-16:00;2021-01-03-00:00;2021-01-02T16:00:00.2115620Z;2021-01-02T23:59:59.7114920Z;770.85;789.21;752.17;775.3;201032.05436696;109946;
2021-01-03-00:00;2021-01-03-08:00;2021-01-03T00:00:00.4725910Z;2021-01-03T07:59:59.8788200Z;775.29;806.94;770.0;800.8;119452.79482022;72582;
2021-01-03-08:00;2021-01-03-16:00;2021-01-03T08:00:00.3504650Z;2021-01-03T15:59:59.9824070Z;800.77;924.57;791.78;919.23;250656.78184538;116748;
2021-01-03-16:00;2021-01-04-00:00;2021-01-03T16:00:00.1457980Z;2021-01-03T23:59:59.9503060Z;919.23;1015.14;890.5;980.44;488634.24241951;212296;
2021-01-04-00:00;2021-01-04-08:00;2021-01-04T00:00:00.2384080Z;2021-01-04T07:59:59.0092000Z;980.44;1168.99;955.0;1046.19;430231.88359349;196539;
2021-01-04-08:00;2021-01-04-16:00;2021-01-04T08:00:00.1352720Z;2021-01-04T15:59:59.4407160Z;1046.3;1079.95;886.33;1041.28;415037.62812441;158483;
