time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2022-01-01-00:00;2022-01-01-04:00;2022-01-01T00:00:00.1533780Z;2022-01-01T03:59:58.3572800Z;3675.81;3748.11;3675.44;3722.96;26185.44161394;61592;
2022-01-01-04:00;2022-01-01-08:00;2022-01-01T04:00:00.2148270Z;2022-01-01T07:59:59.5074530Z;3723.01;3763.83;3700.0;3714.27;26281.61285472;50213;
2022-01-01-08:00;2022-01-01-12:00;2022-01-01T08:00:00.0659340Z;2022-01-01T11:59:59.1623520Z;3714.88;3733.47;3674.02;3693.24;6999.96601291;33432;
2022-01-01-12:00;2022-01-01-16:00;2022-01-01T12:00:00.2269030Z;2022-01-01T15:59:59.2328000Z;3693.05;3745.9;3693.05;3726.65;8360.49066006;45497;
2022-01-01-16:00;2022-01-01-20:00;2022-01-01T16:00:00.1586710Z;2022-01-01T19:59:59.0850620Z;3726.52;3767.0;3719.14;3748.55;16440.33320939;71611;
2022-01-01-20:00;2022-01-02-00:00;2022-01-01T20:00:00.0796250Z;2022-01-01T23:59:59.5070910Z;3748.87;3777.82;3740.67;3765.72;14085.78117724;68035;
2022-01-02-00:00;2022-01-02-04:00;2022-01-02T00:00:00.4216290Z;2022-01-02T03:59:58.4028150Z;3765.98;3772.68;3736.88;3759.55;12467.90150336;60480;
2022-01-02-04:00;2022-01-02-08:00;2022-01-02T04:00:00.2525670Z;2022-01-02T07:59:59.4184520Z;3759.48;3763.12;3718.2;3748.58;8949.77954488;49641;
2022-01-02-08:00;2022-01-02-12:00;2022-01-02T08:00:00.0431580Z;2022-01-02T11:59:59.2978930Z;3748.48;3770.0;3733.89;3744.71;5768.68222086;31737;
2022-01-02-12:00;2022-01-02-16:00;2022-01-02T12:00:00.3883870Z;2022-01-02T15:59:59.8530390Z;3744.71;3792.86;3730.81;3779.39;10119.97438424;37558;
2022-01-02-16:00;2022-01-02-20:00;2022-01-02T16:00:00.0906250Z;2022-01-02T19:59:59.8345580Z;3779.29;3855.77;3772.64;3800.24;26208.83010026;68134;
2022-01-02-20:00;2022-01-03-00:00;2022-01-02T20:00:00.2481450Z;2022-01-02T23:59:59.9452610Z;3800.24;3841.66;3794.24;3828.87;14951.18338188;53696;
2022-01-03-00:00;2022-01-03-04:00;2022-01-03T00:00:00.0974700Z;2022-01-03T03:59:59.2534890Z;3828.93;3829.72;3776.0;3786.0;13683.93504225;58159;
2022-01-03-04:00;2022-01-03-08:00;2022-01-03T04:00:00.3953850Z;2022-01-03T07:59:59.0075990Z;3785.68;3824.42;3781.0;3808.86;8634.07679937;42034;
2022-01-03-08:00;2022-01-03-12:00;2022-01-03T08:00:00.1981520Z;2022-01-03T11:59:59.9896650Z;3808.85;3844.11;3791.46;3835.69;9092.38535616;31185;
2022-01-03-12:00;2022-01-03-16:00;2022-01-03T12:00:00.0997500Z;2022-01-03T15:59:59.3074050Z;3835.68;3851.66;3775.87;3783.21;19377.91382157;53362;
2022-01-03-16:00;2022-01-03-20:00;2022-01-03T16:00:00.0492300Z;2022-01-03T19:59:59.8921870Z;3782.7;3794.86;3734.79;3738.95;28852.98586497;81689;
2022-01-03-20:00;2022-01-04-00:00;2022-01-03T20:00:00.2751690Z;2022-01-03T23:59:59.8652720Z;3738.84;3778.0;3681.62;3766.04;26932.83669402;85542;
2022-01-04-00:00;2022-01-04-04:00;2022-01-04T00:00:00.1435450Z;2022-01-04T03:59:59.7984880Z;3766.01;3774.38;3714.22;3744.46;15062.36346805;66894;
2022-01-04-04:00;2022-01-04-08:00;2022-01-04T04:00:00.3913230Z;2022-01-04T07:59:58.8860990Z;3744.45;3764.88;3726.74;3764.67;9251.11698695;49620;
2022-01-04-08:00;2022-01-04-12:00;2022-01-04T08:00:00.1185690Z;2022-01-04T11:59:59.8619010Z;3764.53;3840.81;3757.94;3837.12;14052.05092232;42594;
2022-01-04-12:00;2022-01-04-16:00;2022-01-04T12:00:00.1878470Z;2022-01-04T15:59:59.4173750Z;3837.12;3894.12;3816.78;3849.18;47581.77589543;82750;
2022-01-04-16:00;2022-01-04-20:00;2022-01-04T16:00:00.2421700Z;2022-01-04T19:59:59.7376370Z;3849.22;3865.0;3757.69;3810.76;42461.66252725;88807;
2022-01-04-20:00;2022-01-05-00:00;2022-01-04T20:00:00.1464360Z;2022-01-04T23:59:59.9774460Z;3810.76;3832.07;3783.85;3785.0;20243.23837781;70260;
2022-01-05-00:00;2022-01-05-04:00;2022-01-05T00:00:00.2888460Z;2022-01-05T03:59:59.8104530Z;3785.0;3827.77;3765.61;3809.38;17331.05537939;63274;
2022-01-05-04:00;2022-01-05-08:00;2022-01-05T04:00:00.1832990Z;2022-01-05T07:59:59.1126360Z;3809.38;3823.0;3797.16;3816.18;10050.70970485;42500;
2022-01-05-08:00;2022-01-05-12:00;2022-01-05T08:00:00.1017960Z;2022-01-05T11:59:57.2717290Z;3816.18;3848.2;3781.19;3791.91;14975.76679498;43337;
2022-01-05-12:00;2022-01-05-16:00;2022-01-05T12:00:00.2805470Z;2022-01-05T15:59:59.4065150Z;3791.52;3832.95;3764.12;3822.42;22008.92784842;62839;
2022-01-05-16:00;2022-01-05-20:00;2022-01-05T16:00:00.0954860Z;2022-01-05T19:59:59.9110010Z;3822.42;3825.18;3644.44;3652.55;45265.13307274;108761;
2022-01-05-20:00;2022-01-06-00:00;2022-01-05T20:00:00.0537390Z;2022-01-05T23:59:59.9702020Z;3653.1;3663.41;3414.88;3539.0;130373.18456963;248852;
2022-01-06-00:00;2022-01-06-04:00;2022-01-06T00:00:00.0129540Z;2022-01-06T03:59:59.9960950Z;3539.0;3550.02;3445.0;3447.28;46766.74508474;130221;
2022-01-06-04:00;2022-01-06-08:00;2022-01-06T04:00:00.0713920Z;2022-01-06T07:59:59.2595380Z;3448.12;3480.28;3405.11;3452.03;47744.73073994;115577;
2022-01-06-08:00;2022-01-06-12:00;2022-01-06T08:00:00.0379180Z;2022-01-06T11:59:59.7071950Z;3451.43;3454.76;3300.0;3348.15;57563.77459835;122935;
2022-01-06-12:00;2022-01-06-16:00;2022-01-06T12:00:00.1752210Z;2022-01-06T15:59:59.5146210Z;3347.83;3425.23;3315.84;3396.46;59774.4885645;135293;
2022-01-06-16:00;2022-01-06-20:00;2022-01-06T16:00:00.0394820Z;2022-01-06T19:59:59.9696880Z;3396.46;3461.53;3381.87;3447.62;43361.13215994;118481;
2022-01-06-20:00;2022-01-07-00:00;2022-01-06T20:00:00.1162960Z;2022-01-06T23:59:59.8573100Z;3447.63;3458.57;3404.19;3406.03;27531.37908532;86570;
2022-01-07-00:00;2022-01-07-04:00;2022-01-07T00:00:00.0979920Z;2022-01-07T03:59:59.9322230Z;3405.66;3415.52;3227.0;3236.75;59667.96195798;133818;
2022-01-07-04:00;2022-01-07-08:00;2022-01-07T04:00:00.1348740Z;2022-01-07T07:59:59.9130840Z;3237.11;3248.98;3112.5;3200.61;115691.4859403;201777;
2022-01-07-08:00;2022-01-07-12:00;2022-01-07T08:00:00.0105970Z;2022-01-07T11:59:59.6988680Z;3200.76;3284.71;3186.82;3224.6;29550.03180212;83993;
2022-01-07-12:00;2022-01-07-16:00;2022-01-07T12:00:00.0110640Z;2022-01-07T15:59:59.9073130Z;3224.95;3267.71;3065.0;3132.86;74553.7201869;131857;
2022-01-07-16:00;2022-01-07-20:00;2022-01-07T16:00:00.1750580Z;2022-01-07T19:59:59.9324300Z;3131.45;3225.55;3090.61;3197.39;61625.59399728;121512;
2022-01-07-20:00;2022-01-08-00:00;2022-01-07T20:00:00.1439430Z;2022-01-07T23:59:59.9833280Z;3197.95;3225.0;3165.0;3198.82;35663.36238713;85820;
2022-01-08-00:00;2022-01-08-04:00;2022-01-08T00:00:00.2639180Z;2022-01-08T03:59:59.8832850Z;3198.96;3246.21;3181.01;3203.23;30362.04463131;63645;
2022-01-08-04:00;2022-01-08-08:00;2022-01-08T04:00:00.3871590Z;2022-01-08T07:59:59.9486970Z;3203.19;3228.78;3192.0;3216.05;15501.04210847;47446;
2022-01-08-08:00;2022-01-08-12:00;2022-01-08T08:00:00.1438670Z;2022-01-08T11:59:58.9014110Z;3216.4;3247.89;3208.09;3220.32;13356.20911124;33152;
2022-01-08-12:00;2022-01-08-16:00;2022-01-08T12:00:01.2141920Z;2022-01-08T15:59:59.7251780Z;3220.31;3230.76;3147.0;3160.87;22878.25061109;52587;
2022-01-08-16:00;2022-01-08-20:00;2022-01-08T16:00:00.0279450Z;2022-01-08T19:59:59.7521170Z;3161.05;3180.05;3000.0;3028.12;92441.89793627;158600;
2022-01-08-20:00;2022-01-09-00:00;2022-01-08T20:00:00.0056790Z;2022-01-08T23:59:59.8891990Z;3028.11;3133.72;3002.0;3080.48;57136.67618888;111807;
2022-01-09-00:00;2022-01-09-04:00;2022-01-09T00:00:00.0747600Z;2022-01-09T03:59:59.4571510Z;3080.92;3147.0;3057.82;3122.0;24721.62941752;69486;
2022-01-09-04:00;2022-01-09-08:00;2022-01-09T04:00:00.1620710Z;2022-01-09T07:59:58.7165430Z;3121.75;3147.42;3117.23;3127.89;13129.82850845;42511;
2022-01-09-08:00;2022-01-09-12:00;2022-01-09T08:00:00.2298580Z;2022-01-09T11:59:58.7713140Z;3127.95;3139.76;3083.26;3129.17;13959.49155883;34965;
2022-01-09-12:00;2022-01-09-16:00;2022-01-09T12:00:00.1214920Z;2022-01-09T15:59:58.9587690Z;3128.69;3134.9;3073.22;3098.61;14017.89363479;53403;
2022-01-09-16:00;2022-01-09-20:00;2022-01-09T16:00:00.0362830Z;2022-01-09T19:59:59.2665660Z;3098.31;3210.05;3092.68;3203.31;43051.69140297;112554;
2022-01-09-20:00;2022-01-10-00:00;2022-01-09T20:00:00.1092510Z;2022-01-09T23:59:59.6453450Z;3203.83;3212.46;3144.08;3151.66;23017.21929656;82148;
2022-01-10-00:00;2022-01-10-04:00;2022-01-10T00:00:00.0148070Z;2022-01-10T03:59:59.8085500Z;3151.65;3171.45;3128.39;3155.6;19854.83242386;62030;
2022-01-10-04:00;2022-01-10-08:00;2022-01-10T04:00:00.3936400Z;2022-01-10T07:59:59.4902470Z;3155.35;3180.29;3152.45;3163.62;17281.37359699;42131;
2022-01-10-08:00;2022-01-10-12:00;2022-01-10T08:00:00.2238860Z;2022-01-10T11:59:59.8303210Z;3163.65;3169.52;3094.84;3104.72;17838.58861183;36279;
