time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2021-01-01-00:00;2021-01-01-08:00;2021-01-01T00:00:00.2356400Z;2021-01-01T07:59:58.4305220Z;124.42;134.22;123.19;129.67;243016.05659678;24935;
2021-01-01-08:00;2021-01-01-16:00;2021-01-01T08:00:02.0416370Z;2021-01-01T15:59:56.7662040Z;129.72;130.53;125.12;126.61;127347.02388108;16517;
2021-01-01-16:00;2021-01-02-00:00;2021-01-01T16:00:02.8590640Z;2021-01-01T23:59:59.5333060Z;126.73;127.8;123.71;126.53;124642.81159155;17280;
2021-01-02-00:00;2021-01-02-08:00;2021-01-02T00:00:01.1703960Z;2021-01-02T07:59:59.7349010Z;126.53;127.63;123.8;125.72;113289.43274978;14931;
2021-01-02-08:00;2021-01-02-16:00;2021-01-02T08:00:09.7515610Z;2021-01-02T15:59:59.3609710Z;125.77;132.3;124.1;131.52;221832.03111909;24119;
2021-01-02-16:00;2021-01-03-00:00;2021-01-02T16:00:01.8912850Z;2021-01-02T23:59:59.4734420Z;131.55;142.21;130.01;137.13;663906.75318572;79130;
2021-01-03-00:00;2021-01-03-08:00;2021-01-03T00:00:01.7019720Z;2021-01-03T07:59:58.1200520Z;137.1;142.69;135.5;139.3;288486.97597948;40222;
2021-01-03-08:00;2021-01-03-16:00;2021-01-03T08:00:01.1240890Z;2021-01-03T15:59:59.8220830Z;139.36;156.79;137.78;151.18;499671.72524722;60848;
2021-01-03-16:00;2021-01-04-00:00;2021-01-03T16:00:00.1390460Z;2021-01-03T23:59:59.7164410Z;151.18;164.98;148.76;161.52;571143.70215361;73701;
2021-01-04-00:00;2021-01-04-08:00;2021-01-04T00:00:00.3777700Z;2021-01-04T07:59:59.2669170Z;161.44;174.5;154.23;160.7;516389.62862444;67527;
2021-01-04-08:00;2021-01-04-16:00;2021-01-04T08:00:01.6238140Z;2021-01-04T15:59:59.1354450Z;160.83;163.83;140.0;153.01;485704.30976172;61840;
2021-01-04-16:00;2021-01-05-00:00;2021-01-04T16:00:01.5600740Z;2021-01-04T23:59:58.9640480Z;153.01;155.79;146.18;155.43;286515.51659041;40389;
2021-01-05-00:00;2021-01-05-08:00;2021-01-05T00:00:00.6571040Z;2021-01-05T07:59:59.3287990Z;155.48;160.0;146.62;150.69;371559.42545959;48698;
2021-01-05-08:00;2021-01-05-16:00;2021-01-05T08:00:03.7784260Z;2021-01-05T15:59:57.7225930Z;150.78;156.78;150.01;154.58;144357.17469724;25600;
2021-01-05-16:00;2021-01-06-00:00;2021-01-05T16:00:02.0874150Z;2021-01-05T23:59:57.9037990Z;154.63;163.36;153.11;159.03;348875.43967264;41437;
2021-01-06-00:00;2021-01-06-08:00;2021-01-06T00:00:00.5165770Z;2021-01-06T07:59:58.9356180Z;159.01;164.9;155.37;161.5;300692.35892062;40048;
2021-01-06-08:00;2021-01-06-16:00;2021-01-06T08:00:02.1012620Z;2021-01-06T15:59:59.2330250Z;161.48;166.93;158.13;165.05;195794.16086592;32963;
2021-01-06-16:00;2021-01-07-00:00;2021-01-06T16:00:02.2432740Z;2021-01-06T23:59:59.9358610Z;165.07;169.9;159.39;169.41;364989.3964442;46542;
2021-01-07-00:00;2021-01-07-08:00;2021-01-07T00:00:03.1941850Z;2021-01-07T07:59:56.4322340Z;169.45;173.04;164.6;165.38;306634.34704818;45157;
2021-01-07-08:00;2021-01-07-16:00;2021-01-07T08:00:02.0105250Z;2021-01-07T15:59:59.5844070Z;165.5;173.0;162.42;171.17;240913.22461667;34047;
2021-01-07-16:00;2021-01-08-00:00;2021-01-07T16:00:03.1419210Z;2021-01-07T23:59:59.1087260Z;171.17;181.25;162.0;169.75;592302.78041197;66879;
2021-01-08-00:00;2021-01-08-08:00;2021-01-08T00:00:00.5116080Z;2021-01-08T07:59:58.0824630Z;169.75;172.17;150.2;163.98;390172.95112322;53536;
2021-01-08-08:00;2021-01-08-16:00;2021-01-08T08:00:05.2134060Z;2021-01-08T15:59:56.0275830Z;163.99;180.0;161.91;172.71;391761.3386104;52468;
2021-01-08-16:00;2021-01-09-00:00;2021-01-08T16:00:00.9874300Z;2021-01-08T23:59:56.3977140Z;172.97;181.55;163.51;172.46;467164.90108839;62462;
2021-01-09-00:00;2021-01-09-08:00;2021-01-09T00:00:00.4258960Z;2021-01-09T07:59:57.1404240Z;172.46;175.88;163.58;167.2;246753.06747149;32620;
2021-01-09-08:00;2021-01-09-16:00;2021-01-09T08:00:05.6046090Z;2021-01-09T15:59:59.3966570Z;167.29;174.16;165.78;170.69;119263.33810436;26626;
2021-01-09-16:00;2021-01-10-00:00;2021-01-09T16:00:03.7122500Z;2021-01-09T23:59:59.8714820Z;170.76;179.42;166.99;177.87;353142.92652621;46921;
2021-01-10-00:00;2021-01-10-08:00;2021-01-10T00:00:00.1230770Z;2021-01-10T07:59:55.9533400Z;177.9;186.34;176.89;184.95;391514.04015201;48171;
2021-01-10-08:00;2021-01-10-16:00;2021-01-10T08:00:01.2227210Z;2021-01-10T15:59:59.8892520Z;185.0;185.92;169.35;173.61;280764.90949921;37649;
2021-01-10-16:00;2021-01-11-00:00;2021-01-10T16:00:04.2992050Z;2021-01-10T23:59:59.6052160Z;173.56;176.66;160.62;170.21;377800.27047044;52218;
2021-01-11-00:00;2021-01-11-08:00;2021-01-11T00:00:00.4897690Z;2021-01-11T07:59:59.6015710Z;170.22;170.72;124.0;141.39;918316.50713085;96352;
2021-01-11-08:00;2021-01-11-16:00;2021-01-11T08:00:00.0275910Z;2021-01-11T15:59:59.9033160Z;141.52;149.0;120.0;124.57;688712.62307841;72427;
2021-01-11-16:00;2021-01-12-00:00;2021-01-11T16:00:00.0254320Z;2021-01-11T23:59:59.6634190Z;124.53;141.59;111.04;139.43;932880.13637893;98996;
2021-01-12-00:00;2021-01-12-08:00;2021-01-12T00:00:00.0564340Z;2021-01-12T07:59:59.1032340Z;139.35;146.88;131.9;145.19;498935.46936363;61363;
2021-01-12-08:00;2021-01-12-16:00;2021-01-12T08:00:03.0377190Z;2021-01-12T15:59:58.0990290Z;145.11;145.69;128.0;136.17;365472.10061119;44132;
2021-01-12-16:00;2021-01-13-00:00;2021-01-12T16:00:00.2056810Z;2021-01-12T23:59:58.7416090Z;136.29;141.17;130.0;133.39;287222.86185371;39450;
2021-01-13-00:00;2021-01-13-08:00;2021-01-13T00:00:00.3725710Z;2021-01-13T07:59:59.9447550Z;133.36;139.68;125.7;137.86;403584.58432693;44179;
2021-01-13-08:00;2021-01-13-16:00;2021-01-13T08:00:03.8591820Z;2021-01-13T15:59:51.6087950Z;137.88;140.4;135.61;138.52;168116.43452931;20811;
2021-01-13-16:00;2021-01-14-00:00;2021-01-13T16:00:00.7855020Z;2021-01-13T23:59:59.8846620Z;138.54;148.5;137.01;147.51;296362.39910637;33249;
2021-01-14-00:00;2021-01-14-08:00;2021-01-14T00:00:00.6014590Z;2021-01-14T07:59:58.1796300Z;147.55;150.57;143.4;148.21;220384.47562769;28838;
2021-01-14-08:00;2021-01-14-16:00;2021-01-14T08:00:00.1278030Z;2021-01-14T15:59:58.2909350Z;148.1;155.8;145.0;152.88;211114.03556213;28247;
2021-01-14-16:00;2021-01-15-00:00;2021-01-14T16:00:03.9523080Z;2021-01-14T23:59:59.5343370Z;152.99;156.87;145.43;152.38;311676.49474838;33999;
2021-01-15-00:00;2021-01-15-08:00;2021-01-15T00:00:00.4982970Z;2021-01-15T07:59:59.5405270Z;152.38;155.3;146.31;150.35;213282.50444051;25534;
2021-01-15-08:00;2021-01-15-16:00;2021-01-15T08:00:00.9703850Z;2021-01-15T15:59:59.5430270Z;150.35;151.87;136.29;137.55;183358.10905338;27949;
2021-01-15-16:00;2021-01-16-00:00;2021-01-15T16:00:01.2676270Z;2021-01-15T23:59:59.1505600Z;137.42;144.87;130.29;143.63;338072.03724868;42162;
2021-01-16-00:00;2021-01-16-08:00;2021-01-16T00:00:00.3581680Z;2021-01-16T07:59:59.8329350Z;143.75;146.49;139.26;143.09;185839.59733025;20016;
2021-01-16-08:00;2021-01-16-16:00;2021-01-16T08:00:05.1192860Z;2021-01-16T15:59:59.3153010Z;143.19;151.97;142.54;149.93;201784.09637169;20211;
2021-01-16-16:00;2021-01-17-00:00;2021-01-16T16:00:01.0962160Z;2021-01-16T23:59:59.7781430Z;149.93;152.68;141.15;143.5;257855.64065806;28576;
2021-01-17-00:00;2021-01-17-08:00;2021-01-17T00:00:00.7350330Z;2021-01-17T07:59:58.7644600Z;143.58;147.0;137.91;139.13;150356.3252454;18432;
2021-01-17-08:00;2021-01-17-16:00;2021-01-17T08:00:10.2477610Z;2021-01-17T15:59:59.5033590Z;139.07;143.41;136.29;142.25;154330.90069944;17845;
2021-01-17-16:00;2021-01-18-00:00;2021-01-17T16:00:01.6369450Z;2021-01-17T23:59:59.6811360Z;142.27;145.75;141.02;142.8;151596.74194502;17718;
2021-01-18-00:00;2021-01-18-08:00;2021-01-18T00:00:00.3948150Z;2021-01-18T07:59:55.5268600Z;142.76;144.52;138.27;142.54;156723.72562718;17271;
2021-01-18-08:00;2021-01-18-16:00;2021-01-18T08:00:01.7090110Z;2021-01-18T15:59:59.4980450Z;142.52;155.0;139.66;151.43;282438.98962306;26934;
2021-01-18-16:00;2021-01-19-00:00;2021-01-18T16:00:00.2292880Z;2021-01-18T23:59:59.1664980Z;151.43;153.13;145.49;151.88;171589.55970979;20690;
2021-01-19-00:00;2021-01-19-08:00;2021-01-19T00:00:00.0759330Z;2021-01-19T07:59:57.1788820Z;151.81;165.35;150.17;164.23;299654.07745456;38671;
2021-01-19-08:00;2021-01-19-16:00;2021-01-19T08:00:00.2574270Z;2021-01-19T15:59:59.6779520Z;164.39;166.21;156.96;161.75;194483.60086732;28325;
2021-01-19-16:00;2021-01-20-00:00;2021-01-19T16:00:00.0600500Z;2021-01-19T23:59:59.7559810Z;161.74;164.64;151.7;151.9;234709.90958938;30967;
2021-01-20-00:00;2021-01-20-08:00;2021-01-20T00:00:00.4238940Z;2021-01-20T07:59:55.3644200Z;151.89;156.3;147.35;151.46;176291.40121001;25282;
2021-01-20-08:00;2021-01-20-16:00;2021-01-20T08:00:01.8063900Z;2021-01-20T15:59:59.1165700Z;151.57;152.37;140.03;141.33;187833.68519388;30070;
2021-01-20-16:00;2021-01-21-00:00;2021-01-20T16:00:01.6527360Z;2021-01-20T23:59:59.8985780Z;141.3;150.21;138.53;149.77;134634.96782135;25215;
2021-01-21-00:00;2021-01-21-08:00;2021-01-21T00:00:00.7352640Z;2021-01-21T07:59:55.5042860Z;149.82;150.35;140.5;143.23;114737.97677498;20692;
2021-01-21-08:00;2021-01-21-16:00;2021-01-21T08:00:05.5034620Z;2021-01-21T15:59:59.4659160Z;143.19;143.19;130.05;131.14;268715.22250451;41261;
2021-01-21-16:00;2021-01-22-00:00;2021-01-21T16:00:00.1258540Z;2021-01-21T23:59:59.7349580Z;131.08;135.87;125.4;129.75;228834.53951912;36365;
2021-01-22-00:00;2021-01-22-08:00;2021-01-22T00:00:00.3627930Z;2021-01-22T07:59:57.3261190Z;129.65;138.2;122.25;134.99;358818.59502221;45339;
2021-01-22-08:00;2021-01-22-16:00;2021-01-22T08:00:01.0541430Z;2021-01-22T15:59:59.6270920Z;134.88;142.0;133.49;140.48;162090.77686792;23064;
2021-01-22-16:00;2021-01-23-00:00;2021-01-22T16:00:01.7059750Z;2021-01-22T23:59:59.3054090Z;140.47;140.86;136.56;137.76;141088.37569862;20035;
2021-01-23-00:00;2021-01-23-08:00;2021-01-23T00:00:00.1002090Z;2021-01-23T07:59:57.0918550Z;137.75;142.0;135.0;141.0;101571.10657837;14934;
2021-01-23-08:00;2021-01-23-16:00;2021-01-23T08:00:04.8314610Z;2021-01-23T15:59:52.4384590Z;141.2;143.54;136.0;138.91;77498.40712518;12915;
2021-01-23-16:00;2021-01-24-00:00;2021-01-23T16:00:01.0136050Z;2021-01-23T23:59:55.5237610Z;138.91;140.32;137.0;137.76;83941.52337951;12259;
2021-01-24-00:00;2021-01-24-08:00;2021-01-24T00:00:00.4086200Z;2021-01-24T07:59:58.7955240Z;137.78;142.63;136.34;141.56;81600.36822975;13776;
2021-01-24-08:00;2021-01-24-16:00;2021-01-24T08:00:00.2282990Z;2021-01-24T15:59:59.8875020Z;141.56;142.37;137.3;138.12;52540.07911236;9278;
2021-01-24-16:00;2021-01-25-00:00;2021-01-24T16:00:04.5223890Z;2021-01-24T23:59:58.9689710Z;138.09;142.0;133.86;141.13;137428.9885533;19925;
2021-01-25-00:00;2021-01-25-08:00;2021-01-25T00:00:00.5611300Z;2021-01-25T07:59:59.8905010Z;141.17;147.69;140.72;144.22;199103.77724007;25270;
2021-01-25-08:00;2021-01-25-16:00;2021-01-25T08:00:00.0109210Z;2021-01-25T15:59:57.3032110Z;144.27;146.84;140.03;145.37;119745.60999426;17440;
2021-01-25-16:00;2021-01-26-00:00;2021-01-25T16:00:05.1093650Z;2021-01-25T23:59:57.4576780Z;145.48;145.81;136.62;137.13;128636.27817631;19669;
