time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2022-01-01-00:00;2022-01-01-04:00;2022-01-01T00:00:01.0926520Z;2022-01-01T03:59:58.2390630Z;146.23;149.69;146.12;147.69;39221.61335464;9242;
2022-01-01-04:00;2022-01-01-08:00;2022-01-01T04:00:01.6922150Z;2022-01-01T07:59:59.9471120Z;147.73;149.24;146.64;147.98;34378.05028673;7675;
2022-01-01-08:00;2022-01-01-12:00;2022-01-01T08:00:04.4851190Z;2022-01-01T11:59:59.0731110Z;147.99;148.7;146.71;147.44;15189.06193982;4509;
2022-01-01-12:00;2022-01-01-16:00;2022-01-01T12:00:02.3727980Z;2022-01-01T15:59:56.2891260Z;147.5;150.08;147.43;149.27;20735.17767361;6069;
2022-01-01-16:00;2022-01-01-20:00;2022-01-01T16:00:04.5551060Z;2022-01-01T19:59:57.3576870Z;149.26;151.04;149.01;149.91;26036.04855032;8704;
2022-01-01-20:00;2022-01-02-00:00;2022-01-01T20:00:02.6179920Z;2022-01-01T23:59:55.1447230Z;149.93;150.95;149.46;150.83;19451.7894366;8785;
2022-01-02-00:00;2022-01-02-04:00;2022-01-02T00:00:01.4979850Z;2022-01-02T03:59:47.5922050Z;150.79;150.94;149.23;150.26;18869.54190757;7959;
2022-01-02-04:00;2022-01-02-08:00;2022-01-02T04:00:02.3861920Z;2022-01-02T07:59:51.1165840Z;150.24;150.41;147.89;149.36;18984.18422892;7384;
2022-01-02-08:00;2022-01-02-12:00;2022-01-02T08:00:06.2929150Z;2022-01-02T11:59:58.4628950Z;149.39;150.57;148.66;149.45;8771.83091465;4273;
2022-01-02-12:00;2022-01-02-16:00;2022-01-02T12:00:03.5515490Z;2022-01-02T15:59:57.6426100Z;149.46;151.88;148.71;151.45;18041.8796278;5514;
2022-01-02-16:00;2022-01-02-20:00;2022-01-02T16:00:00.8994920Z;2022-01-02T19:59:58.6856670Z;151.44;153.34;149.89;151.22;22780.9318299;8506;
2022-01-02-20:00;2022-01-03-00:00;2022-01-02T20:00:01.8033820Z;2022-01-02T23:59:57.3321830Z;151.21;151.87;150.36;151.2;19291.78038221;8216;
2022-01-03-00:00;2022-01-03-04:00;2022-01-03T00:00:00.4963980Z;2022-01-03T03:59:59.6969240Z;151.18;151.18;149.19;149.55;17577.60159241;7241;
2022-01-03-04:00;2022-01-03-08:00;2022-01-03T04:00:04.4974840Z;2022-01-03T07:59:58.9934120Z;149.47;151.08;149.42;150.07;10523.77148413;5882;
2022-01-03-08:00;2022-01-03-12:00;2022-01-03T08:00:04.2938990Z;2022-01-03T11:59:55.8344370Z;150.11;151.15;149.0;150.78;13145.96652594;4823;
2022-01-03-12:00;2022-01-03-16:00;2022-01-03T12:00:00.8530590Z;2022-01-03T15:59:58.6454720Z;150.8;151.19;148.22;148.8;30726.93345282;7756;
2022-01-03-16:00;2022-01-03-20:00;2022-01-03T16:00:02.4813650Z;2022-01-03T19:59:58.3369350Z;148.8;149.25;147.1;147.94;38489.49084812;10488;
2022-01-03-20:00;2022-01-04-00:00;2022-01-03T20:00:00.6435470Z;2022-01-03T23:59:57.3260180Z;147.88;148.9;146.03;148.43;35642.62698859;10896;
2022-01-04-00:00;2022-01-04-04:00;2022-01-04T00:00:00.7897080Z;2022-01-04T03:59:58.6520600Z;148.44;148.78;146.36;147.66;22954.32493989;8100;
2022-01-04-04:00;2022-01-04-08:00;2022-01-04T04:00:01.6201360Z;2022-01-04T07:59:58.6460330Z;147.64;148.88;147.07;148.77;26043.60400158;6623;
2022-01-04-08:00;2022-01-04-12:00;2022-01-04T08:00:02.5677390Z;2022-01-04T11:59:59.4726420Z;148.83;150.44;148.46;150.01;28600.28221848;5665;
2022-01-04-12:00;2022-01-04-16:00;2022-01-04T12:00:01.3645900Z;2022-01-04T15:59:59.8010400Z;150.04;151.59;148.79;150.37;29449.88683959;6940;
2022-01-04-16:00;2022-01-04-20:00;2022-01-04T16:00:00.2540610Z;2022-01-04T19:59:59.1419200Z;150.37;150.89;145.23;147.22;42252.6782477;10332;
2022-01-04-20:00;2022-01-05-00:00;2022-01-04T20:00:04.6598700Z;2022-01-04T23:59:58.4123630Z;147.17;148.22;145.88;146.44;21284.73858813;8799;
2022-01-05-00:00;2022-01-05-04:00;2022-01-05T00:00:05.2685310Z;2022-01-05T03:59:57.5400690Z;146.45;148.79;145.88;148.53;31871.96757671;9131;
2022-01-05-04:00;2022-01-05-08:00;2022-01-05T04:00:00.2132650Z;2022-01-05T07:59:58.9616190Z;148.53;148.75;147.57;148.53;16854.23049334;6258;
2022-01-05-08:00;2022-01-05-12:00;2022-01-05T08:00:01.4482120Z;2022-01-05T11:59:54.4336030Z;148.54;149.93;147.31;147.92;16265.54360624;5518;
2022-01-05-12:00;2022-01-05-16:00;2022-01-05T12:00:02.8518470Z;2022-01-05T15:59:59.1541550Z;147.88;149.83;146.78;149.12;31669.37887424;7663;
2022-01-05-16:00;2022-01-05-20:00;2022-01-05T16:00:02.5403620Z;2022-01-05T19:59:57.1005090Z;149.09;149.3;142.35;142.62;57079.67635134;13290;
2022-01-05-20:00;2022-01-06-00:00;2022-01-05T20:00:00.1156590Z;2022-01-05T23:59:59.6225960Z;142.62;143.12;130.0;135.32;173975.26526704;34284;
2022-01-06-00:00;2022-01-06-04:00;2022-01-06T00:00:01.4228960Z;2022-01-06T03:59:59.7418790Z;135.35;137.84;133.83;133.91;54602.85748694;14221;
2022-01-06-04:00;2022-01-06-08:00;2022-01-06T04:00:02.2298260Z;2022-01-06T07:59:58.9114660Z;133.92;137.7;133.23;136.73;57045.06160567;12384;
2022-01-06-08:00;2022-01-06-12:00;2022-01-06T08:00:01.2766170Z;2022-01-06T11:59:59.1148090Z;136.78;136.91;132.71;134.08;53710.42631598;10451;
2022-01-06-12:00;2022-01-06-16:00;2022-01-06T12:00:00.9636800Z;2022-01-06T15:59:57.7744390Z;134.09;135.74;132.41;135.08;54921.0826437;11803;
2022-01-06-16:00;2022-01-06-20:00;2022-01-06T16:00:03.5181040Z;2022-01-06T19:59:59.8329690Z;135.16;138.09;134.59;137.27;48913.77673863;11437;
2022-01-06-20:00;2022-01-07-00:00;2022-01-06T20:00:01.2157280Z;2022-01-06T23:59:58.5886270Z;137.27;137.7;135.88;135.9;43942.67992109;10953;
2022-01-07-00:00;2022-01-07-04:00;2022-01-07T00:00:02.8737480Z;2022-01-07T03:59:58.1973350Z;135.94;136.53;129.98;130.67;59230.15505287;13465;
2022-01-07-04:00;2022-01-07-08:00;2022-01-07T04:00:03.2322680Z;2022-01-07T07:59:59.9436920Z;130.67;131.5;125.9;130.14;86711.87002;18713;
2022-01-07-08:00;2022-01-07-12:00;2022-01-07T08:00:00.5020130Z;2022-01-07T11:59:51.0631670Z;130.17;134.48;129.69;133.4;45255.39627332;9664;
2022-01-07-12:00;2022-01-07-16:00;2022-01-07T12:00:00.8565860Z;2022-01-07T15:59:58.6670780Z;133.36;135.19;128.57;131.22;78600.59962648;14143;
2022-01-07-16:00;2022-01-07-20:00;2022-01-07T16:00:00.6831700Z;2022-01-07T19:59:57.6104040Z;131.12;135.43;129.72;133.48;53859.42664372;14009;
2022-01-07-20:00;2022-01-08-00:00;2022-01-07T20:00:02.9541070Z;2022-01-07T23:59:58.1417270Z;133.59;133.93;129.8;131.34;46979.28572813;12594;
2022-01-08-00:00;2022-01-08-04:00;2022-01-08T00:00:01.2817110Z;2022-01-08T03:59:57.2884720Z;131.33;133.67;130.76;132.19;29699.24085311;9405;
2022-01-08-04:00;2022-01-08-08:00;2022-01-08T04:00:00.4754050Z;2022-01-08T07:59:55.6416780Z;132.16;133.08;131.73;132.87;17163.98854227;6445;
2022-01-08-08:00;2022-01-08-12:00;2022-01-08T08:00:04.3680570Z;2022-01-08T11:59:54.7356540Z;132.92;134.71;132.38;134.34;24140.51538194;5925;
2022-01-08-12:00;2022-01-08-16:00;2022-01-08T12:00:01.4683450Z;2022-01-08T15:59:57.0592590Z;134.35;134.76;130.42;131.23;33587.09215521;7892;
2022-01-08-16:00;2022-01-08-20:00;2022-01-08T16:00:00.0168700Z;2022-01-08T19:59:59.9450810Z;131.19;132.01;125.0;127.07;82170.2270646;18503;
2022-01-08-20:00;2022-01-09-00:00;2022-01-08T20:00:02.9792340Z;2022-01-08T23:59:58.5253150Z;127.02;131.66;126.05;129.51;59607.26611215;13049;
2022-01-09-00:00;2022-01-09-04:00;2022-01-09T00:00:00.1935680Z;2022-01-09T03:59:58.9615910Z;129.45;131.69;128.62;130.61;36614.89892239;9144;
2022-01-09-04:00;2022-01-09-08:00;2022-01-09T04:00:01.7215860Z;2022-01-09T07:59:57.7662580Z;130.55;131.41;129.77;130.19;22626.05064396;6364;
2022-01-09-08:00;2022-01-09-12:00;2022-01-09T08:00:04.6345920Z;2022-01-09T11:59:58.8020940Z;130.14;130.96;128.61;130.3;23944.17139302;5323;
2022-01-09-12:00;2022-01-09-16:00;2022-01-09T12:00:03.3406790Z;2022-01-09T15:59:58.6402510Z;130.34;130.57;127.76;129.18;28358.71941662;6406;
2022-01-09-16:00;2022-01-09-20:00;2022-01-09T16:00:02.3636350Z;2022-01-09T19:59:56.6305420Z;129.19;132.56;128.11;132.39;47034.52853806;10720;
2022-01-09-20:00;2022-01-10-00:00;2022-01-09T20:00:00.0505720Z;2022-01-09T23:59:59.5363460Z;132.35;132.58;130.55;130.91;30993.45623271;9588;
2022-01-10-00:00;2022-01-10-04:00;2022-01-10T00:00:01.4718830Z;2022-01-10T03:59:57.1045920Z;130.87;131.55;129.4;130.09;34859.89389387;9101;
2022-01-10-04:00;2022-01-10-08:00;2022-01-10T04:00:00.0700800Z;2022-01-10T07:59:59.0318820Z;130.03;131.04;129.91;130.81;21430.82986461;5989;
2022-01-10-08:00;2022-01-10-12:00;2022-01-10T08:00:00.2312040Z;2022-01-10T11:59:54.6053540Z;130.85;131.04;128.93;129.35;23666.99040297;4979;
2022-01-10-12:00;2022-01-10-16:00;2022-01-10T12:00:00.7208700Z;2022-01-10T15:59:59.4526070Z;129.31;129.47;120.78;124.46;111900.85919184;18973;
2022-01-10-16:00;2022-01-10-20:00;2022-01-10T16:00:05.1432420Z;2022-01-10T19:59:59.1034770Z;124.43;128.37;122.64;124.72;69180.53785672;14456;
2022-01-10-20:00;2022-01-11-00:00;2022-01-10T20:00:02.3377490Z;2022-01-10T23:59:57.7893230Z;124.84;127.12;124.24;126.52;31015.09924729;9916;
2022-01-11-00:00;2022-01-11-04:00;2022-01-11T00:00:03.2200830Z;2022-01-11T03:59:59.4565270Z;126.51;129.85;125.77;129.33;40376.82764302;10240;
2022-01-11-04:00;2022-01-11-08:00;2022-01-11T04:00:00.3076530Z;2022-01-11T07:59:58.7048490Z;129.33;129.61;128.25;129.09;23047.17178176;6848;
2022-01-11-08:00;2022-01-11-12:00;2022-01-11T08:00:04.8934720Z;2022-01-11T11:59:59.4594650Z;129.1;130.31;127.46;128.15;22586.6082338;5837;
2022-01-11-12:00;2022-01-11-16:00;2022-01-11T12:00:01.5876540Z;2022-01-11T15:59:58.1770640Z;128.12;129.83;126.75;129.29;38838.60298442;8518;
2022-01-11-16:00;2022-01-11-20:00;2022-01-11T16:00:00.5000720Z;2022-01-11T19:59:57.2344210Z;129.29;133.54;129.1;131.63;60045.28990599;12319;
2022-01-11-20:00;2022-01-12-00:00;2022-01-11T20:00:03.8613650Z;2022-01-11T23:59:57.3753050Z;131.61;132.33;130.95;131.67;22459.69315917;8090;
2022-01-12-00:00;2022-01-12-04:00;2022-01-12T00:00:05.0227930Z;2022-01-12T03:59:58.4632400Z;131.67;132.44;130.92;131.5;20118.49001259;7658;
2022-01-12-04:00;2022-01-12-08:00;2022-01-12T04:00:00.3234910Z;2022-01-12T07:59:59.1414910Z;131.5;132.77;130.97;131.88;14295.02646596;6195;
2022-01-12-08:00;2022-01-12-12:00;2022-01-12T08:00:00.1927400Z;2022-01-12T11:59:48.3533280Z;131.81;134.99;131.62;133.87;23810.89028706;5810;
2022-01-12-12:00;2022-01-12-16:00;2022-01-12T12:00:03.2574310Z;2022-01-12T15:59:55.4819540Z;133.83;138.46;133.72;137.36;48807.95533698;10365;
2022-01-12-16:00;2022-01-12-20:00;2022-01-12T16:00:04.1352080Z;2022-01-12T19:59:58.1017840Z;137.44;142.35;136.41;140.68;51472.92360395;11232;
2022-01-12-20:00;2022-01-13-00:00;2022-01-12T20:00:00.1459770Z;2022-01-12T23:59:59.6081830Z;140.7;142.16;140.05;142.02;39183.35224694;10971;
2022-01-13-00:00;2022-01-13-04:00;2022-01-13T00:00:00.4044140Z;2022-01-13T03:59:59.7486770Z;141.99;142.37;138.72;139.57;27566.80206158;9009;
2022-01-13-04:00;2022-01-13-08:00;2022-01-13T04:00:03.1609860Z;2022-01-13T07:59:58.9162580Z;139.55;140.34;139.38;139.81;14127.31930573;6145;
2022-01-13-08:00;2022-01-13-12:00;2022-01-13T08:00:06.5183650Z;2022-01-13T11:59:58.3295900Z;139.8;141.16;136.73;137.23;33872.03425684;6951;
2022-01-13-12:00;2022-01-13-16:00;2022-01-13T12:00:02.7379600Z;2022-01-13T15:59:56.7246520Z;137.22;141.12;135.6;136.77;47351.85774584;10427;
2022-01-13-16:00;2022-01-13-20:00;2022-01-13T16:00:07.2905090Z;2022-01-13T19:59:56.8346380Z;136.75;137.68;134.63;135.91;47040.10645744;11144;
2022-01-13-20:00;2022-01-14-00:00;2022-01-13T20:00:00.6239820Z;2022-01-13T23:59:55.0736280Z;135.87;137.54;134.81;136.82;30825.93276432;9468;
2022-01-14-00:00;2022-01-14-04:00;2022-01-14T00:00:04.7943010Z;2022-01-14T03:59:58.7716290Z;136.8;139.95;135.96;138.27;35420.1551793;10009;
2022-01-14-04:00;2022-01-14-08:00;2022-01-14T04:00:00.9864040Z;2022-01-14T07:59:59.3374940Z;138.28;140.07;137.71;138.79;29516.27175678;8313;
2022-01-14-08:00;2022-01-14-12:00;2022-01-14T08:00:00.3010510Z;2022-01-14T11:59:57.8638360Z;138.9;139.07;136.08;138.58;39708.7304594;7687;
2022-01-14-12:00;2022-01-14-16:00;2022-01-14T12:00:00.5653360Z;2022-01-14T15:59:58.9128710Z;138.56;146.54;137.29;144.79;111824.73539452;19943;
2022-01-14-16:00;2022-01-14-20:00;2022-01-14T16:00:00.1699010Z;2022-01-14T19:59:58.8798130Z;144.81;145.22;143.28;144.68;47602.83293434;11227;
2022-01-14-20:00;2022-01-15-00:00;2022-01-14T20:00:01.3854210Z;2022-01-14T23:59:59.5739370Z;144.71;145.57;143.91;144.84;25005.93368144;9649;
2022-01-15-00:00;2022-01-15-04:00;2022-01-15T00:00:00.2643350Z;2022-01-15T03:59:57.9195800Z;144.84;148.7;144.07;147.29;51350.06626402;11238;
2022-01-15-04:00;2022-01-15-08:00;2022-01-15T04:00:00.4923020Z;2022-01-15T07:59:58.0119640Z;147.29;150.72;146.63;150.28;41688.62035974;10881;
2022-01-15-08:00;2022-01-15-12:00;2022-01-15T08:00:00.1168900Z;2022-01-15T11:59:57.6391900Z;150.27;150.31;147.55;148.23;21794.52316067;6833;
2022-01-15-12:00;2022-01-15-16:00;2022-01-15T12:00:01.3856070Z;2022-01-15T15:59:48.9114280Z;148.17;149.15;144.77;149.07;32333.00900212;9429;
2022-01-15-16:00;2022-01-15-20:00;2022-01-15T16:00:00.1338420Z;2022-01-15T19:59:59.7129520Z;149.09;149.56;147.75;149.43;20505.41056778;9364;
2022-01-15-20:00;2022-01-16-00:00;2022-01-15T20:00:01.0442280Z;2022-01-15T23:59:57.2766140Z;149.43;149.77;147.34;147.73;22590.53571636;9652;
2022-01-16-00:00;2022-01-16-04:00;2022-01-16T00:00:02.8997720Z;2022-01-16T03:59:57.9692980Z;147.75;149.04;145.51;145.77;30201.31542027;10326;
2022-01-16-04:00;2022-01-16-08:00;2022-01-16T04:00:01.9301690Z;2022-01-16T07:59:55.2681030Z;145.75;147.08;144.71;146.37;21620.91785998;7845;
2022-01-16-08:00;2022-01-16-12:00;2022-01-16T08:00:00.7812900Z;2022-01-16T11:59:59.9032180Z;146.37;146.89;144.42;144.82;18657.67258996;5923;
2022-01-16-12:00;2022-01-16-16:00;2022-01-16T12:00:01.4263700Z;2022-01-16T15:59:58.8899860Z;144.82;147.17;143.33;145.79;28289.54760241;8221;
2022-01-16-16:00;2022-01-16-20:00;2022-01-16T16:00:04.6429260Z;2022-01-16T19:59:59.9516480Z;145.82;147.62;145.42;145.66;23615.64788944;8693;
2022-01-16-20:00;2022-01-17-00:00;2022-01-16T20:00:01.0338100Z;2022-01-16T23:59:56.5853660Z;145.6;147.02;145.25;146.49;18461.47639788;7866;
2022-01-17-00:00;2022-01-17-04:00;2022-01-17T00:00:02.4648170Z;2022-01-17T03:59:59.8575780Z;146.46;151.13;145.46;147.64;55746.58090505;12800;
2022-01-17-04:00;2022-01-17-08:00;2022-01-17T04:00:00.9599860Z;2022-01-17T07:59:59.7596120Z;147.58;149.6;146.16;147.92;29955.79538366;9562;
2022-01-17-08:00;2022-01-17-12:00;2022-01-17T08:00:03.1411500Z;2022-01-17T11:59:57.0710610Z;147.93;152.93;147.1;151.57;41479.66171419;10308;
2022-01-17-12:00;2022-01-17-16:00;2022-01-17T12:00:00.3934540Z;2022-01-17T15:59:59.7722680Z;151.54;153.91;148.22;148.89;66252.9431336;14903;
2022-01-17-16:00;2022-01-17-20:00;2022-01-17T16:00:00.3066710Z;2022-01-17T19:59:59.9044780Z;148.9;150.9;144.19;150.58;99922.22784693;18400;
2022-01-17-20:00;2022-01-18-00:00;2022-01-17T20:00:00.1029480Z;2022-01-17T23:59:58.6939520Z;150.59;153.31;145.87;151.19;92048.03397387;19214;
2022-01-18-00:00;2022-01-18-04:00;2022-01-18T00:00:03.1647180Z;2022-01-18T03:59:50.2801750Z;151.2;153.45;146.18;147.52;61859.90917479;14387;
2022-01-18-04:00;2022-01-18-08:00;2022-01-18T04:00:01.7257280Z;2022-01-18T07:59:58.4696980Z;147.49;148.46;145.09;146.13;48712.09166017;10251;
2022-01-18-08:00;2022-01-18-12:00;2022-01-18T08:00:10.9623080Z;2022-01-18T11:59:58.8418390Z;146.11;146.2;140.43;142.06;54981.40093854;11097;
2022-01-18-12:00;2022-01-18-16:00;2022-01-18T12:00:03.6724200Z;2022-01-18T15:59:55.7135880Z;141.97;142.49;138.63;140.74;59923.96420308;12501;
2022-01-18-16:00;2022-01-18-20:00;2022-01-18T16:00:01.2199380Z;2022-01-18T19:59:59.7596290Z;140.73;141.46;139.16;140.9;44375.65466416;10993;
2022-01-18-20:00;2022-01-19-00:00;2022-01-18T20:00:00.6784420Z;2022-01-18T23:59:59.2850060Z;140.96;144.0;139.97;141.53;46662.28701123;11260;
2022-01-19-00:00;2022-01-19-04:00;2022-01-19T00:00:00.7362120Z;2022-01-19T03:59:53.2113450Z;141.53;143.07;136.42;136.87;50230.08130742;11775;
2022-01-19-04:00;2022-01-19-08:00;2022-01-19T04:00:00.8383800Z;2022-01-19T07:59:58.5599080Z;137.01;137.79;133.18;133.91;62592.88831115;11802;
2022-01-19-08:00;2022-01-19-12:00;2022-01-19T08:00:00.6726120Z;2022-01-19T11:59:59.1698590Z;133.95;137.18;133.24;136.93;31969.27183375;7561;
2022-01-19-12:00;2022-01-19-16:00;2022-01-19T12:00:08.2570230Z;2022-01-19T15:59:58.5258700Z;136.96;138.27;135.93;136.55;40234.16506796;8821;
2022-01-19-16:00;2022-01-19-20:00;2022-01-19T16:00:00.6659970Z;2022-01-19T19:59:57.0660770Z;136.49;138.57;135.11;137.58;50145.28083663;11099;
2022-01-19-20:00;2022-01-20-00:00;2022-01-19T20:00:03.0575790Z;2022-01-19T23:59:53.8600320Z;137.5;138.26;136.13;136.2;27563.00138362;9012;
2022-01-20-00:00;2022-01-20-04:00;2022-01-20T00:00:01.9603550Z;2022-01-20T03:59:55.9106580Z;136.35;139.24;136.19;138.93;34648.23596908;9269;
2022-01-20-04:00;2022-01-20-08:00;2022-01-20T04:00:00.4865360Z;2022-01-20T07:59:55.9991990Z;138.93;139.36;137.53;138.46;20616.16576774;6779;
2022-01-20-08:00;2022-01-20-12:00;2022-01-20T08:00:04.4249400Z;2022-01-20T11:59:55.6783200Z;138.52;138.57;136.83;138.13;15525.78846846;5006;
2022-01-20-12:00;2022-01-20-16:00;2022-01-20T12:00:02.0720860Z;2022-01-20T15:59:59.6897450Z;138.13;142.41;137.16;142.17;38600.5423333;9804;
2022-01-20-16:00;2022-01-20-20:00;2022-01-20T16:00:01.0110950Z;2022-01-20T19:59:58.8723480Z;142.17;142.88;140.51;141.27;33948.87801019;9882;
2022-01-20-20:00;2022-01-21-00:00;2022-01-20T20:00:05.5287570Z;2022-01-20T23:59:57.5483300Z;141.26;141.45;128.86;129.8;93598.74884439;17577;
2022-01-21-00:00;2022-01-21-04:00;2022-01-21T00:00:00.4988540Z;2022-01-21T03:59:59.2092990Z;129.73;131.1;121.89;122.36;138007.61436508;21172;
2022-01-21-04:00;2022-01-21-08:00;2022-01-21T04:00:00.9578730Z;2022-01-21T07:59:59.6870960Z;122.31;125.99;122.24;125.62;49499.26269878;9867;
2022-01-21-08:00;2022-01-21-12:00;2022-01-21T08:00:00.4491030Z;2022-01-21T11:59:54.8338410Z;125.54;126.05;123.95;124.88;54678.24438672;7707;
