time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2020-09-15;2020-09-16;2020-09-15T16:04:09.2308700Z;2020-09-15T23:59:49.7051310Z;0.29;0.2996;0.249;0.254;4211488.831886;2098;
2020-09-16;2020-09-17;2020-09-16T00:01:06.9853470Z;2020-09-16T23:59:36.7099970Z;0.2539;0.2577;0.2284;0.2438;5437148.882746;3352;
2020-09-17;2020-09-18;2020-09-17T00:00:10.3042410Z;2020-09-17T23:59:57.0037530Z;0.2468;0.377;0.223;0.2657;24806031.153885;18841;
2020-09-18;2020-09-19;2020-09-18T00:00:05.0478730Z;2020-09-18T23:59:54.4778060Z;0.2657;0.3273;0.25;0.2621;32922145.217938;30714;
2020-09-19;2020-09-20;2020-09-19T00:00:00.8961780Z;2020-09-19T23:59:42.2673860Z;0.262;0.2742;0.2424;0.255;7072968.635733;8062;
2020-09-20;2020-09-21;2020-09-20T00:00:13.3831530Z;2020-09-20T23:59:47.1642800Z;0.2548;0.2595;0.2375;0.2413;6178915.588361;6784;
2020-09-21;2020-09-22;2020-09-21T00:00:01.5432500Z;2020-09-21T23:59:58.5912820Z;0.242;0.35;0.2278;0.2435;42052638.60372;21326;
2020-09-22;2020-09-23;2020-09-22T00:01:05.9557720Z;2020-09-22T23:59:42.0659680Z;0.2431;0.2575;0.2355;0.2395;8623974.6312;6979;
2020-09-23;2020-09-24;2020-09-23T00:00:29.8139520Z;2020-09-23T23:59:42.1485080Z;0.2395;0.2423;0.2076;0.2103;9315609.809698;6338;
2020-09-24;2020-09-25;2020-09-24T00:00:33.4547810Z;2020-09-24T23:59:05.2847070Z;0.21;0.2272;0.2071;0.2258;8339261.886917;5389;
2020-09-25;2020-09-26;2020-09-25T00:00:09.5723070Z;2020-09-25T23:59:55.0207570Z;0.2258;0.24;0.2146;0.2251;9504790.606328;6368;
2020-09-26;2020-09-27;2020-09-26T00:01:20.1182450Z;2020-09-26T23:59:25.5546070Z;0.2252;0.2295;0.2176;0.225;4600043.320246;3857;
2020-09-27;2020-09-28;2020-09-27T00:00:15.3560760Z;2020-09-27T23:58:45.0071000Z;0.225;0.2299;0.2128;0.2183;4342518.153406;3319;
2020-09-28;2020-09-29;2020-09-28T00:01:22.7534010Z;2020-09-28T23:58:25.3796370Z;0.2187;0.2349;0.2153;0.2243;6367315.474621;4776;
2020-09-29;2020-09-30;2020-09-29T00:00:26.9821040Z;2020-09-29T23:59:56.5470630Z;0.2235;0.2304;0.2129;0.2213;2762237.498651;3191;
2020-09-30;2020-10-01;2020-09-30T00:00:58.5425160Z;2020-09-30T23:59:59.4659680Z;0.2213;0.2227;0.2106;0.2154;2503420.55931;2819;
