time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2022-01-01-00:00;2022-01-01-04:00;2022-01-01T00:00:02.8744040Z;2022-01-01T03:59:52.3654500Z;2.0859;2.12;2.0485;2.0689;2206331.95373;7521;
2022-01-01-04:00;2022-01-01-08:00;2022-01-01T04:00:01.8465550Z;2022-01-01T07:59:58.6015720Z;2.0689;2.0792;2.0379;2.0515;1902926.193971;5669;
2022-01-01-08:00;2022-01-01-12:00;2022-01-01T08:00:02.4709640Z;2022-01-01T11:59:55.6869270Z;2.0503;2.0851;2.0443;2.0444;450422.912889;2942;
2022-01-01-12:00;2022-01-01-16:00;2022-01-01T12:00:29.0998350Z;2022-01-01T15:59:55.4039320Z;2.0477;2.0779;2.043;2.0675;435740.323061;3305;
2022-01-01-16:00;2022-01-01-20:00;2022-01-01T16:00:02.2810740Z;2022-01-01T19:59:58.7850660Z;2.0673;2.099;2.0662;2.0798;836671.218119;6190;
2022-01-01-20:00;2022-01-02-00:00;2022-01-01T20:00:01.0379240Z;2022-01-01T23:59:59.5840510Z;2.079;2.0903;2.0582;2.0892;1023338.668851;6266;
2022-01-02-00:00;2022-01-02-04:00;2022-01-02T00:00:03.5013030Z;2022-01-02T03:59:52.2437300Z;2.0884;2.0932;2.0677;2.069;1002443.203321;5457;
2022-01-02-04:00;2022-01-02-08:00;2022-01-02T04:00:05.0688050Z;2022-01-02T07:59:33.7287750Z;2.0693;2.071;2.05;2.0546;807524.089274;4567;
2022-01-02-08:00;2022-01-02-12:00;2022-01-02T08:00:14.0127450Z;2022-01-02T11:59:56.8790310Z;2.0538;2.0815;2.05;2.0727;494021.974428;2962;
2022-01-02-12:00;2022-01-02-16:00;2022-01-02T12:00:03.1232380Z;2022-01-02T15:59:58.8430290Z;2.0717;2.1157;2.0553;2.0777;1373055.909173;6397;
2022-01-02-16:00;2022-01-02-20:00;2022-01-02T16:00:09.5089830Z;2022-01-02T19:59:58.2156310Z;2.0778;2.1029;2.0586;2.0747;1775717.166567;7800;
2022-01-02-20:00;2022-01-03-00:00;2022-01-02T20:00:08.1635740Z;2022-01-02T23:59:57.5418890Z;2.0747;2.099;2.0674;2.0953;640233.987702;4795;
2022-01-03-00:00;2022-01-03-04:00;2022-01-03T00:00:20.0491480Z;2022-01-03T03:59:57.1822060Z;2.0964;2.0967;2.0569;2.0689;1129860.133263;5712;
2022-01-03-04:00;2022-01-03-08:00;2022-01-03T04:00:00.2253150Z;2022-01-03T07:59:58.3736650Z;2.0688;2.0796;2.052;2.0616;713367.003595;4369;
2022-01-03-08:00;2022-01-03-12:00;2022-01-03T08:00:14.7423300Z;2022-01-03T11:59:52.9494170Z;2.0614;2.086;2.0582;2.0836;859531.479887;4661;
2022-01-03-12:00;2022-01-03-16:00;2022-01-03T12:00:01.9774760Z;2022-01-03T15:59:48.7594690Z;2.0848;2.0957;2.0613;2.0673;825702.630891;5906;
2022-01-03-16:00;2022-01-03-20:00;2022-01-03T16:00:09.2409120Z;2022-01-03T19:59:59.2999490Z;2.0675;2.0797;2.0232;2.0564;1252119.739454;8434;
2022-01-03-20:00;2022-01-04-00:00;2022-01-03T20:00:01.9428010Z;2022-01-03T23:59:53.5876950Z;2.0558;2.0638;2.0204;2.0452;1247120.124646;7445;
2022-01-04-00:00;2022-01-04-04:00;2022-01-04T00:00:14.1598360Z;2022-01-04T03:59:56.9001370Z;2.0465;2.0561;2.0027;2.0294;968883.783446;6857;
2022-01-04-04:00;2022-01-04-08:00;2022-01-04T04:00:05.5255410Z;2022-01-04T07:59:58.2189310Z;2.0282;2.0378;2.0149;2.0319;694541.490574;5329;
2022-01-04-08:00;2022-01-04-12:00;2022-01-04T08:00:08.3611590Z;2022-01-04T11:59:55.4485530Z;2.0327;2.0719;2.02;2.0699;652160.425073;4479;
2022-01-04-12:00;2022-01-04-16:00;2022-01-04T12:00:00.3919650Z;2022-01-04T15:59:59.6208000Z;2.0704;2.1033;2.0452;2.08;1567923.990026;8489;
2022-01-04-16:00;2022-01-04-20:00;2022-01-04T16:00:00.6451060Z;2022-01-04T19:59:57.5613000Z;2.08;2.1457;2.0266;2.063;3144425.007545;14592;
2022-01-04-20:00;2022-01-05-00:00;2022-01-04T20:00:03.9091280Z;2022-01-04T23:59:44.1067860Z;2.0632;2.1026;2.0451;2.0557;1496251.966039;7988;
2022-01-05-00:00;2022-01-05-04:00;2022-01-05T00:00:02.7561180Z;2022-01-05T03:59:56.7674360Z;2.0546;2.1028;2.0453;2.1019;1182627.038026;7435;
2022-01-05-04:00;2022-01-05-08:00;2022-01-05T04:00:01.9419130Z;2022-01-05T07:59:56.1088180Z;2.1013;2.1037;2.0769;2.0926;621169.603879;4440;
2022-01-05-08:00;2022-01-05-12:00;2022-01-05T08:00:04.2143460Z;2022-01-05T11:59:44.4077850Z;2.0933;2.1074;2.0659;2.076;978255.581656;5373;
2022-01-05-12:00;2022-01-05-16:00;2022-01-05T12:00:01.1934200Z;2022-01-05T15:59:59.1429720Z;2.0758;2.0841;2.0302;2.0365;2265563.547697;10420;
2022-01-05-16:00;2022-01-05-20:00;2022-01-05T16:00:03.7764610Z;2022-01-05T19:59:59.4778750Z;2.0376;2.049;1.859;1.8981;4935085.149316;22814;
